Symbol,RMSE,R2,Directional_Acc
TATAMOTORS,7.75,0.9959,50.0
VEDL,5.24,0.9948,50.54
GAIL,10.38,0.9944,48.69
MM,29.62,0.9902,48.92
TITAN,28.54,0.9894,49.9
HDFCBANK,45.61,0.989,51.57
ICICIBANK,10.66,0.9873,50.78
TATASTEEL,16.12,0.986,50.59
ADANIPORTS,13.52,0.985,51.52
ZEEL,18.49,0.985,47.85
LT,25.22,0.9841,51.19
GRASIM,28.02,0.9839,48.83
CIPLA,15.03,0.9817,48.14
RELIANCE,52.84,0.9817,50.98
BPCL,13.57,0.981,50.93
TECHM,17.54,0.9803,47.16
AXISBANK,16.46,0.9792,50.05
SBIN,7.64,0.9779,51.86
JSWSTEEL,12.7,0.9771,52.31
BAJFINANCE,176.03,0.9764,52.45
SUNPHARMA,12.01,0.9764,49.9
ASIANPAINT,70.67,0.973,52.45
ITC,7.25,0.9705,48.83
HDFC,51.07,0.9702,50.0
HCLTECH,30.44,0.9699,50.88
UPL,29.17,0.9672,51.1
BHARTIARTL,15.92,0.9665,50.16
IOC,24.27,0.9614,49.02
WIPRO,15.72,0.9591,49.32
HEROMOTOCO,131.56,0.9406,51.47
NTPC,7.74,0.9217,49.36
EICHERMOT,2939.9,0.9,51.62
MARUTI,407.59,0.8818,53.66
DRREDDY,365.65,0.8521,47.95
TCS,181.41,0.8498,50.25
POWERGRID,6.42,0.8447,51.9
INDUSINDBK,188.94,0.8367,50.89
HINDALCO,23.08,0.7468,50.0
ONGC,23.94,0.6386,49.07
BAJAJ-AUTO,265.03,0.5612,52.75
INFY,164.38,0.4799,50.78
ULTRACEMCO,661.1,0.2553,49.87
SHREECEM,3107.81,0.1332,51.31
BAJAJFINSV,1578.15,0.0297,47.91
KOTAKBANK,274.36,-0.0171,52.25
BRITANNIA,1137.64,-0.1488,46.03
COALINDIA,73.1,-2.2892,46.67
NESTLEIND,4539.0,-2.8472,50.19
HINDUNILVR,919.67,-4.094,49.12
