Symbol,Sector,Current_Price,Predicted_Price,Predicted_Return_Pct,Signal
GAIL,Energy,134.8,136.52,1.27,BUY
BAJAJ-AUTO,Automobile,3836.45,3875.86,1.03,BUY
TECHM,IT,976.9,986.89,1.02,BUY
INFY,IT,1356.35,1369.12,0.94,HOLD
UPL,Chemicals,615.8,621.1,0.86,HOLD
HCLTECH,IT,909.55,916.34,0.75,HOLD
MARUTI,Automobile,6565.65,6611.42,0.7,HOLD
ZEEL,Media,186.55,187.57,0.55,HOLD
AXISBANK,Banking,719.4,723.18,0.53,HOLD
SHREECEM,Cement,28444.35,28594.48,0.53,HOLD
VEDL,,255.05,256.33,0.5,HOLD
BAJFINANCE,Financial Services,5484.85,5506.43,0.39,HOLD
BHARTIARTL,Telecom,540.85,542.83,0.37,HOLD
IOC,Energy,88.9,89.22,0.36,HOLD
EICHERMOT,Automobile,2462.9,2471.32,0.34,HOLD
TCS,IT,3115.25,3122.59,0.24,HOLD
ITC,Consumer Goods,204.3,204.72,0.2,HOLD
HINDUNILVR,Consumer Goods,2407.6,2411.58,0.17,HOLD
INDUSINDBK,Banking,939.45,940.51,0.11,HOLD
NTPC,Energy,103.05,103.14,0.09,HOLD
DRREDDY,Pharma,5102.3,5102.7,0.01,HOLD
ONGC,Energy,104.05,104.06,0.01,HOLD
ULTRACEMCO,Cement,6382.45,6380.13,-0.04,HOLD
NESTLEIND,Consumer Goods,16502.55,16496.18,-0.04,HOLD
HDFCBANK,Banking,1472.5,1471.43,-0.07,HOLD
BRITANNIA,Consumer Goods,3468.9,3463.5,-0.16,HOLD
WIPRO,IT,489.85,488.99,-0.18,HOLD
MM,,774.6,773.24,-0.18,HOLD
ICICIBANK,Banking,621.45,620.0,-0.23,HOLD
POWERGRID,Energy,220.15,219.56,-0.27,HOLD
ASIANPAINT,Consumer Goods,2613.45,2605.74,-0.29,HOLD
TITAN,Consumer Goods,1506.8,1500.82,-0.4,HOLD
GRASIM,Cement,1350.7,1345.04,-0.42,HOLD
HEROMOTOCO,Automobile,2860.1,2848.03,-0.42,HOLD
SUNPHARMA,Pharma,644.5,641.6,-0.45,HOLD
TATAMOTORS,Automobile,301.9,300.23,-0.55,HOLD
RELIANCE,Energy,2024.05,2012.44,-0.57,HOLD
HDFC,Financial Services,2538.85,2524.44,-0.57,HOLD
LT,Infrastructure,1358.65,1350.26,-0.62,HOLD
JSWSTEEL,Metals,726.5,721.7,-0.66,HOLD
SBIN,Banking,359.4,356.79,-0.73,HOLD
COALINDIA,Energy,128.05,126.98,-0.84,HOLD
CIPLA,Pharma,906.5,898.38,-0.9,HOLD
ADANIPORTS,Infrastructure,746.75,738.97,-1.04,SELL
KOTAKBANK,Banking,1805.0,1782.31,-1.26,SELL
BPCL,Energy,419.55,412.15,-1.76,SELL
HINDALCO,Metals,372.15,362.93,-2.48,SELL
BAJAJFINSV,Financial Services,11176.55,10363.08,-7.28,SELL
TATASTEEL,Metals,1031.35,950.93,-7.8,SELL
