Symbol,Annual_Return,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,VaR_95,CVaR_95
ADANIPORTS,8.29,38.14,0.0601,0.0722,-91.74,-3.12,-5.28
ASIANPAINT,20.27,35.49,0.4022,0.391,-92.48,-2.46,-4.24
AXISBANK,29.67,48.48,0.4883,0.6174,-85.02,-4.16,-6.35
BAJAJ-AUTO,12.58,26.33,0.2498,0.3057,-59.92,-2.08,-3.67
BAJAJFINSV,19.49,31.15,0.4331,0.6001,-86.79,-2.7,-4.56
BAJFINANCE,38.47,48.33,0.6717,0.8135,-93.28,-3.83,-6.26
BHARTIARTL,19.28,37.93,0.35,0.4873,-78.47,-3.36,-5.01
BPCL,12.3,46.82,0.1346,0.1592,-77.31,-3.87,-6.46
BRITANNIA,15.07,33.57,0.2701,0.2801,-85.36,-2.42,-3.98
CIPLA,8.18,38.71,0.0563,0.0589,-89.07,-2.93,-4.99
COALINDIA,-2.31,20.87,-0.3984,-0.5431,-75.07,-2.17,-3.29
DRREDDY,13.31,36.9,0.1982,0.2277,-81.31,-3.04,-5.19
EICHERMOT,34.67,48.02,0.5971,0.747,-93.82,-3.73,-5.95
GAIL,11.42,39.07,0.1387,0.1668,-87.23,-3.23,-5.35
GRASIM,15.62,39.56,0.2433,0.2744,-92.43,-3.26,-5.35
HCLTECH,12.1,51.6,0.1183,0.133,-96.82,-4.37,-7.63
HDFC,21.12,41.42,0.3651,0.4096,-81.47,-3.25,-5.37
HDFCBANK,19.9,38.05,0.3652,0.3879,-84.18,-2.8,-4.79
HEROMOTOCO,13.76,38.82,0.1999,0.2367,-90.99,-3.29,-5.02
HINDALCO,11.61,47.07,0.1191,0.1411,-97.46,-4.18,-6.32
HINDUNILVR,11.07,35.77,0.1419,0.1529,-96.62,-2.73,-4.35
ICICIBANK,23.48,47.59,0.3673,0.4593,-89.8,-3.96,-6.37
INDUSINDBK,28.92,49.15,0.4664,0.6224,-85.11,-4.02,-6.81
INFY,3.0,47.69,-0.0628,-0.0607,-96.88,-3.31,-6.7
IOC,4.78,42.1,-0.0291,-0.0325,-91.0,-3.37,-5.68
ITC,8.12,39.13,0.0541,0.0534,-94.05,-2.85,-5.0
JSWSTEEL,17.9,45.4,0.262,0.3146,-92.45,-3.79,-6.19
KOTAKBANK,24.39,50.35,0.3651,0.4016,-88.95,-3.79,-6.81
LT,10.93,36.35,0.1358,0.1566,-87.53,-2.91,-4.96
MARUTI,22.4,31.5,0.5205,0.7406,-61.34,-2.89,-4.47
MM,13.12,44.19,0.1612,0.1879,-92.08,-3.74,-6.22
NESTLEIND,10.47,17.63,0.2534,0.3703,-32.4,-1.61,-2.58
NTPC,4.96,26.5,-0.0391,-0.0535,-73.16,-2.47,-3.88
ONGC,7.42,41.68,0.034,0.0388,-95.96,-3.38,-5.6
POWERGRID,6.52,23.64,0.0219,0.0297,-64.12,-2.08,-3.47
RELIANCE,17.82,38.15,0.3099,0.3584,-79.01,-3.08,-5.19
SBIN,15.47,42.61,0.2222,0.256,-95.68,-3.59,-5.49
SHREECEM,35.92,37.77,0.792,1.2094,-79.97,-3.46,-5.01
SUNPHARMA,10.06,46.23,0.0879,0.0859,-90.71,-3.19,-6.08
TATAMOTORS,15.8,48.81,0.2008,0.2515,-95.22,-4.31,-6.63
TATASTEEL,18.98,44.19,0.2937,0.4092,-84.95,-4.16,-6.29
TCS,11.87,33.29,0.1763,0.1895,-82.06,-2.49,-4.46
TECHM,11.07,36.77,0.1378,0.1638,-89.43,-2.9,-5.07
TITAN,30.4,50.0,0.4881,0.5974,-96.69,-4.05,-6.36
ULTRACEMCO,19.42,29.39,0.4568,0.6586,-77.78,-2.77,-4.15
UPL,12.0,42.88,0.14,0.1605,-92.53,-3.47,-5.74
VEDL,27.5,56.84,0.3783,0.4668,-98.58,-4.76,-7.43
WIPRO,5.49,48.59,-0.0106,-0.0114,-98.31,-3.89,-7.17
ZEEL,5.45,52.58,-0.0105,-0.0139,-95.96,-4.72,-7.7
